id,requester_id,submitter_id,created_at,subject,description,tags,channel,status,organization_id,priority,type
30302,9307107796247,410168142174,2023-05-29T13:06:42Z,Great Day Website,"CAUTION: External Sender

Hi Ricardo,

Can you please assist us on the Great Day website, we'd like to know if you can please reduce the amount of white space between the title and content? In comparison to other websites and other sections on this website there is a much larger amount of white space here.

Thank you,
Natalie


[https://lh5.googleusercontent.com/5u99KVYv7WoRbJzWFnc8mhzdrmf6wFWBBU6GSw5cR3vW1E99et3G7jh8inquXwHTQMDWD0m2WB1asHgUWxC39qStwNkW0qCE8L47nP5nVSOjPv-WEbYf8FjeKNUt40olGIYsu9x8xm6khHKKki3yQJf8Rj1wGNDMXFuokwVRykgDtKcHU4KI5p8n3g]

Natalie Hey-Shipton

Director of Marketing

Fairwinds Estate Winery

Fairwinds Brands

Phone +1 707-341-0086

Email natalie@fewinery.com<mailto:natalie@fewinery.com>

Web www.fewinery.com<http://www.fewinery.com/> | www.fairwindsbrands.com<http://www.fairwindsbrands.com/>

 [https://lh4.googleusercontent.com/RKUyqwPhedn0fHBq8LsCHktiS5pM2yWH9f2VR7IaxkAaNuQaZ9vWdsmWiazcOrO-Dd59RgYcrSnZvZNHP7aCBAIlIoMAaS2PlHk2bsfSxcNLfMuAXGH3VNeBvhuWw3gPXXVd2-dkrtV5vmnXJcrWHklOKJ1WQuupBDXwUo76Z5fpYsuErmPDU0BkjA] <https://www.linkedin.com/in/natalieheyshipton/>
image001.png
image002.png
image003.png
Screen Shot 2023-05-26 at 3.23.06 PM.png",['support'],email,,370381730214,normal,incident
30301,411454395014,411454395014,2023-05-26T17:57:17Z,Baja Kelvin Jimenez,"Hello Team

Please help me out locking out all access to Kelvin Jimenez (Fairwinds and OSI). I’m looping Daniela in case she need a backup of the email.

Kind Regards 

Williams A.",['support'],email,,1900028126905,normal,incident
30299,1901160670105,1901160670105,2023-05-26T17:16:59Z,Adquisición de nueva licencia office 365,"Buenos días solicito adquirir una nueva licencia Office 365 estándar de formato mensual y asignarle dicha licencia al usuario por crear.

Creación de usuario: gabriela.ramirez@fhcingenieros.com

Display Name: Gabriela Ramírez

 

Saludos,","['amc', 'notification']",email,,1500491900002,normal,incident
30293,411454435554,411454435554,2023-05-25T20:52:35Z,Problem with Screen Adaptor,"Hello, the screen adaptor of the computer located in spot 53, the third floor, is not working correctly and disconnects occasionally. Please check if it can be changed.

 

 

Cesar Rodas

Client Account Manager

(714) 450-7762

http://osinearshore.com (https://t.sidekickopen70.com/s3t/c/5/f18dQhb0S7kF8bWLQhW1dfxhB59hl3kW7_k2841CXdp3VP1rDG7vRn-4N2bzNJKrRWZf101?te=W3R5hFj4cm2zwW4hLyxj3K3Q8PW4cHYX249PGT6W45Szks4fdHZSW3_rjz61LFzdRW2kccFs4fNSkDW1G9XCm3vhSBLW1Q3GtN3z9D80W3T1kw51JDYmyW4fGB3z3T1McHW43XxF843V0-zW3Fbt6L1G9Y2tW49NjDp2v-DR8W45l0851V6_vFW1YZVz_1S3sL-W43WHKP3K1LYmW3R3c4t1JxwY5W1G9v302zt30lW3H3bCk1G9XSKW1WZcY_2120KSW1G9v352t0vZLW41nX7L1W-zRYW3K3pp51JxwY5W1G9v352sF4ckW3DML0f3BNNjpW1S32JG3LJy09W3DK8zW23f34fW1Q5MPR1-WjZmW2121l-21gYd8W3JHXbG1ZkRP2W3yNyLc22XFSMW3C64lH22VX3KW1S2bV01Y_ZH_W1G9v352szGtWW1Y_ZJ41V2SmzW1V20SZ22XBdtW20ZrHx1WZcY_W2123_n3X-qTwW41nX7L2123WcW2z_11p3jtbwDW3GM5RS2KHM_xW43RtvZ1Xx3mRW2p98_g2p3lfJW2KFg7M43RvhjW3Z_RJ-2HSKh9W2Kx1_r2HstRBW1QvcB14mCSrJW2KJbC32Hsv9CW1N31Yf1V8dXxW1Y_ZH_1N4h9wW1S3-Yj3zhrqJW1V8kSj43Gl1vW2qCZL-2YKWxxW3CctbJ1S3sLWW3VzY-22vTk0lW4rB9DG2FsFqKW1YZVdM4cNcs9W2p0Sqy2nCkvpW1V8dXx1_r6bLW3K8RlN3GGsbWW1N0bMJ45rXb5W2w4QvT2p95zXW3_Ygff2f7yYVW3jtd5S3z23KdW3-0hF52xMfKbW21ljNd4mH9wCW1GJPl53tZZrYW3P4bFY3S_bv1W1pLjNY29hPbRW3V-6xw4tkDNjW3JGld23yPq3vW2-rGMZ3VvSmzW4k9jTg3bC3MzW38snkx38dGJhW34mH5w3_YgfrW2f8Pkw32sB7_W2RzM1L3gsC32W43QhHL2zGtqwW2CKhmn1NB1mZW43s22Q3K26WxW2CK9Bf1pLjNYW29jbGq4hrLvxW38jrQ21W_NxCW49LLtM4hNdFFW3SL5T-3HbDQ0W3v4YGN3yPN7hW3dnynb2CDzTyn3_Ygfh173&si=8000000004776888&pi=157d2788-26ff-4a29-9045-dceddcc0a578)

crodas@osinearshore.com",['support'],email,,1900028126905,normal,incident
30292,411454435554,411454435554,2023-05-25T20:48:55Z,Copy of New Hire Form - Brenda Soto - Lawn.xlsx,"Hello,

 

Now sharing the new hire form for the Lawn.com new employee that will start on June 1st. Please consider the spot is currently occupied; we will require two computer movements in the same row to free the space.

 

The current user sitting in spot 60 will move to his right to spot 41.

 

The current user of spot 41 will move to his right to spot 39. I currently use spot 39 but will move to an empty spot.

 

Regards,

Cesar Rodas",['support'],email,,1900028126905,normal,incident
30291,9307107796247,9307107796247,2023-05-25T20:27:07Z,Website Access,"Hello!

Can we please get Joelle (cc'd here) access to all of the WordPress sites?

Thank you,
Natalie


[https://lh5.googleusercontent.com/5u99KVYv7WoRbJzWFnc8mhzdrmf6wFWBBU6GSw5cR3vW1E99et3G7jh8inquXwHTQMDWD0m2WB1asHgUWxC39qStwNkW0qCE8L47nP5nVSOjPv-WEbYf8FjeKNUt40olGIYsu9x8xm6khHKKki3yQJf8Rj1wGNDMXFuokwVRykgDtKcHU4KI5p8n3g]

Natalie Hey-Shipton

Director of Marketing

Fairwinds Estate Winery

Fairwinds Brands

Phone +1 707-341-0086

Email natalie@fewinery.com

Web www.fewinery.com<http://www.fewinery.com> | www.fairwindsbrands.com<http://www.fairwindsbrands.com>

 [https://lh4.googleusercontent.com/RKUyqwPhedn0fHBq8LsCHktiS5pM2yWH9f2VR7IaxkAaNuQaZ9vWdsmWiazcOrO-Dd59RgYcrSnZvZNHP7aCBAIlIoMAaS2PlHk2bsfSxcNLfMuAXGH3VNeBvhuWw3gPXXVd2-dkrtV5vmnXJcrWHklOKJ1WQuupBDXwUo76Z5fpYsuErmPDU0BkjA] <https://www.linkedin.com/in/natalieheyshipton/>",['support'],email,,370381730214,normal,incident
30288,9609252311319,9609252311319,2023-05-25T18:18:27Z,Kansas City Royals / Crown Collection_New Team channel request,"Good morning Team,

 

We need your help creating a new Team channel for our new brand Crown Collection

 

Please include the same members as in the other brands and have Lisa be the owner.

 

 

Thanks.",['support'],email,,370381730214,normal,incident
30287,411454435554,411454435554,2023-05-25T16:07:43Z,Facebook as work tool-Lawn.com,"Hello,

 

Please help me unlock Facebook for the spots 58 and 57, third floor. The new recruiters for Lawn.com are there and the client told me they need to use it as a work tool.

 

Regards,

 

Cesar Rodas

Client Account Manager

(714) 450-7762

http://osinearshore.com (https://t.sidekickopen70.com/s3t/c/5/f18dQhb0S7kF8bWLQhW1dfxhB59hl3kW7_k2841CXdp3VP1rDG7vRn-4N2bzNJKrRWZf101?te=W3R5hFj4cm2zwW4hLyxj3K3Q8PW4cHYX249PGT6W45Szks4fdHZSW3_rjz61LFzdRW2kccFs4fNSkDW1G9XCm3vhSBLW1Q3GtN3z9D80W3T1kw51JDYmyW4fGB3z3T1McHW43XxF843V0-zW3Fbt6L1G9Y2tW49NjDp2v-DR8W45l0851V6_vFW1YZVz_1S3sL-W43WHKP3K1LYmW3R3c4t1JxwY5W1G9v302zt30lW3H3bCk1G9XSKW1WZcY_2120KSW1G9v352t0vZLW41nX7L1W-zRYW3K3pp51JxwY5W1G9v352sF4ckW3DML0f3BNNjpW1S32JG3LJy09W3DK8zW23f34fW1Q5MPR1-WjZmW2121l-21gYd8W3JHXbG1ZkRP2W3yNyLc22XFSMW3C64lH22VX3KW1S2bV01Y_ZH_W1G9v352szGtWW1Y_ZJ41V2SmzW1V20SZ22XBdtW20ZrHx1WZcY_W2123_n3X-qTwW41nX7L2123WcW2z_11p3jtbwDW3GM5RS2KHM_xW43RtvZ1Xx3mRW2p98_g2p3lfJW2KFg7M43RvhjW3Z_RJ-2HSKh9W2Kx1_r2HstRBW1QvcB14mCSrJW2KJbC32Hsv9CW1N31Yf1V8dXxW1Y_ZH_1N4h9wW1S3-Yj3zhrqJW1V8kSj43Gl1vW2qCZL-2YKWxxW3CctbJ1S3sLWW3VzY-22vTk0lW4rB9DG2FsFqKW1YZVdM4cNcs9W2p0Sqy2nCkvpW1V8dXx1_r6bLW3K8RlN3GGsbWW1N0bMJ45rXb5W2w4QvT2p95zXW3_Ygff2f7yYVW3jtd5S3z23KdW3-0hF52xMfKbW21ljNd4mH9wCW1GJPl53tZZrYW3P4bFY3S_bv1W1pLjNY29hPbRW3V-6xw4tkDNjW3JGld23yPq3vW2-rGMZ3VvSmzW4k9jTg3bC3MzW38snkx38dGJhW34mH5w3_YgfrW2f8Pkw32sB7_W2RzM1L3gsC32W43QhHL2zGtqwW2CKhmn1NB1mZW43s22Q3K26WxW2CK9Bf1pLjNYW29jbGq4hrLvxW38jrQ21W_NxCW49LLtM4hNdFFW3SL5T-3HbDQ0W3v4YGN3yPN7hW3dnynb2CDzTyn3_Ygfh173&si=8000000004776888&pi=157d2788-26ff-4a29-9045-dceddcc0a578)

crodas@osinearshore.com",['support'],email,,1900028126905,normal,incident
30286,417142615074,417142615074,2023-05-25T15:42:39Z,Remote Desktop/Softland Access,"Good morning team,

 

Can you please help me with access to remote desktop and Softland for Marvin Aguilar?

 

 

Thank you,

 

 

Daisy Sosa

Payroll Analyst

(714) 450-7770

http://osinearshore.com

dsosa@osinearshore.com",['support'],email,,,normal,incident
30285,414343581014,414343581014,2023-05-25T15:24:29Z,Attrition Distro Modification.,"Hello,

 

Can you please help me to update “attrition” distro to the following :

* Williams abarca
* Joel Cinero
* Angela Menendez
* Daisy Sosa
* Francisco Palacios.

 

Thanks

 

Adriana López de Castillo | Recursos Humanos

ES 2246-0239 7539-3328  US (714)-450-7719   alopez@osinearshore.com

Edificio Avante 4-02 Urbanización Madreselva 3, Calle Llama del Bosque

Ant. Cuscatlán, La Libertad, El Salvador C.A

www.osinearshore.com (http://www.osinearshore.com/)",['support'],email,,370381673274,normal,incident
